Team1,Team_x,Team2,Team_y,Winner,Prediction
ORL,Magic,LAC,Clippers,LAC,Clippers,,,,,,,,
ORL,Magic,SAC,Kings,ORL,Magic,,,,,,,,
ORL,Magic,CLE,Cavaliers,ORL,Magic,,,,,,,,
ORL,Magic,CHO,Hornets,ORL,Magic,,,,,,,,
ORL,Magic,BRK,Nets,ORL,Magic,,,,,,,,
ORL,Magic,UTA,Jazz,UTA,Jazz,,,,,,,,
ORL,Magic,NOP,Pelicans,NOP,Pelicans,,,,,,,,
ORL,Magic,CHI,Bulls,CHI,Bulls,,,,,,,,
ORL,Magic,PHO,Suns,PHO,Suns,,,,,,,,
ORL,Magic,GSW,Warriors,ORL,Magic,,,,,,,,
ORL,Magic,IND,Pacers,ORL,Magic,,,,,,,,
ORL,Magic,MIL,Bucks,MIL,Bucks,,,,,,,,
ORL,Magic,POR,Trailblazers,ORL,Magic,,,,,,,,
ORL,Magic,HOU,Rockets,ORL,Magic,,,,,,,,
ORL,Magic,PHI,76ers,ORL,Magic,,,,,,,,
ORL,Magic,OKC,Thunder,ORL,Magic,,,,,,,,
ORL,Magic,DET,Pistons,DET,Pistons,,,,,,,,
ORL,Magic,TOR,Raptors,TOR,Raptors,,,,,,,,
ORL,Magic,LAL,Lakers,ORL,Magic,,,,,,,,
ORL,Magic,WAS,Wizards,WAS,Wizards,,,,,,,,
ORL,Magic,BOS,Celtics,ORL,Magic,,,,,,,,
ORL,Magic,DEN,Nuggets,ORL,Magic,,,,,,,,
ORL,Magic,MIA,Heat,MIA,Heat,,,,,,,,
ORL,Magic,NYK,Knicks,NYK,Knicks,,,,,,,,
MEM,Grizzlies,LAC,Clippers,LAC,Clippers,,,,,,,,
MEM,Grizzlies,SAC,Kings,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,CLE,Cavaliers,CLE,Cavaliers,,,,,,,,
MEM,Grizzlies,CHO,Hornets,CHO,Hornets,,,,,,,,
MEM,Grizzlies,BRK,Nets,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,UTA,Jazz,UTA,Jazz,,,,,,,,
MEM,Grizzlies,NOP,Pelicans,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,CHI,Bulls,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,PHO,Suns,PHO,Suns,,,,,,,,
MEM,Grizzlies,GSW,Warriors,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,IND,Pacers,IND,Pacers,,,,,,,,
MEM,Grizzlies,MIL,Bucks,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,POR,Trailblazers,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,HOU,Rockets,HOU,Rockets,,,,,,,,
MEM,Grizzlies,PHI,76ers,PHI,76ers,,,,,,,,
MEM,Grizzlies,OKC,Thunder,OKC,Thunder,,,,,,,,
MEM,Grizzlies,DET,Pistons,DET,Pistons,,,,,,,,
MEM,Grizzlies,TOR,Raptors,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,LAL,Lakers,LAL,Lakers,,,,,,,,
MEM,Grizzlies,WAS,Wizards,MEM,Grizzlies,,,,,,,,
MEM,Grizzlies,BOS,Celtics,BOS,Celtics,,,,,,,,
MEM,Grizzlies,DEN,Nuggets,DEN,Nuggets,,,,,,,,
MEM,Grizzlies,MIA,Heat,MIA,Heat,,,,,,,,
MEM,Grizzlies,NYK,Knicks,NYK,Knicks,,,,,,,,
LAC,Clippers,SAC,Kings,SAC,Kings,,,,,,,,
LAC,Clippers,CLE,Cavaliers,LAC,Clippers,,,,,,,,
LAC,Clippers,CHO,Hornets,CHO,Hornets,,,,,,,,
LAC,Clippers,BRK,Nets,LAC,Clippers,,,,,,,,
LAC,Clippers,UTA,Jazz,UTA,Jazz,,,,,,,,
LAC,Clippers,NOP,Pelicans,NOP,Pelicans,,,,,,,,
LAC,Clippers,CHI,Bulls,CHI,Bulls,,,,,,,,
LAC,Clippers,PHO,Suns,LAC,Clippers,,,,,,,,
LAC,Clippers,GSW,Warriors,LAC,Clippers,,,,,,,,
LAC,Clippers,IND,Pacers,LAC,Clippers,,,,,,,,
LAC,Clippers,MIL,Bucks,LAC,Clippers,,,,,,,,
LAC,Clippers,POR,Trailblazers,POR,Trailblazers,,,,,,,,
LAC,Clippers,HOU,Rockets,HOU,Rockets,,,,,,,,
LAC,Clippers,PHI,76ers,LAC,Clippers,,,,,,,,
LAC,Clippers,OKC,Thunder,OKC,Thunder,,,,,,,,
LAC,Clippers,DET,Pistons,LAC,Clippers,,,,,,,,
LAC,Clippers,TOR,Raptors,LAC,Clippers,,,,,,,,
LAC,Clippers,LAL,Lakers,LAC,Clippers,,,,,,,,
LAC,Clippers,WAS,Wizards,LAC,Clippers,,,,,,,,
LAC,Clippers,BOS,Celtics,LAC,Clippers,,,,,,,,
LAC,Clippers,DEN,Nuggets,DEN,Nuggets,,,,,,,,
LAC,Clippers,MIA,Heat,LAC,Clippers,,,,,,,,
LAC,Clippers,NYK,Knicks,LAC,Clippers,,,,,,,,
SAC,Kings,CLE,Cavaliers,SAC,Kings,,,,,,,,
SAC,Kings,CHO,Hornets,SAC,Kings,,,,,,,,
SAC,Kings,BRK,Nets,SAC,Kings,,,,,,,,
SAC,Kings,UTA,Jazz,UTA,Jazz,,,,,,,,
SAC,Kings,NOP,Pelicans,NOP,Pelicans,,,,,,,,
SAC,Kings,CHI,Bulls,CHI,Bulls,,,,,,,,
SAC,Kings,PHO,Suns,SAC,Kings,,,,,,,,
SAC,Kings,GSW,Warriors,SAC,Kings,,,,,,,,
SAC,Kings,IND,Pacers,SAC,Kings,,,,,,,,
SAC,Kings,MIL,Bucks,SAC,Kings,,,,,,,,
SAC,Kings,POR,Trailblazers,SAC,Kings,,,,,,,,
SAC,Kings,HOU,Rockets,SAC,Kings,,,,,,,,
SAC,Kings,PHI,76ers,SAC,Kings,,,,,,,,
SAC,Kings,OKC,Thunder,SAC,Kings,,,,,,,,
SAC,Kings,DET,Pistons,DET,Pistons,,,,,,,,
SAC,Kings,TOR,Raptors,TOR,Raptors,,,,,,,,
SAC,Kings,LAL,Lakers,SAC,Kings,,,,,,,,
SAC,Kings,WAS,Wizards,WAS,Wizards,,,,,,,,
SAC,Kings,BOS,Celtics,BOS,Celtics,,,,,,,,
SAC,Kings,DEN,Nuggets,SAC,Kings,,,,,,,,
SAC,Kings,MIA,Heat,SAC,Kings,,,,,,,,
SAC,Kings,NYK,Knicks,NYK,Knicks,,,,,,,,
CLE,Cavliers,CHO,Hornets,CHO,Hornets,,,,,,,,
CLE,Cavliers,BRK,Nets,CLE,Cavliers,,,,,,,,
CLE,Cavliers,UTA,Jazz,CLE,Cavliers,,,,,,,,
CLE,Cavliers,NOP,Pelicans,CLE,Cavliers,,,,,,,,
CLE,Cavliers,CHI,Bulls,CLE,Cavliers,,,,,,,,
CLE,Cavliers,PHO,Suns,CLE,Cavliers,,,,,,,,
CLE,Cavliers,GSW,Warriors,CLE,Cavliers,,,,,,,,
CLE,Cavliers,IND,Pacers,IND,Pacers,,,,,,,,
CLE,Cavliers,MIL,Bucks,MIL,Bucks,,,,,,,,
CLE,Cavliers,POR,Trailblazers,CLE,Cavliers,,,,,,,,
CLE,Cavliers,HOU,Rockets,HOU,Rockets,,,,,,,,
CLE,Cavliers,PHI,76ers,CLE,Cavliers,,,,,,,,
CLE,Cavliers,OKC,Thunder,OKC,Thunder,,,,,,,,
CLE,Cavliers,DET,Pistons,DET,Pistons,,,,,,,,
CLE,Cavliers,TOR,Raptors,CLE,Cavliers,,,,,,,,
CLE,Cavliers,LAL,Lakers,LAL,Lakers,,,,,,,,
CLE,Cavliers,WAS,Wizards,CLE,Cavliers,,,,,,,,
CLE,Cavliers,BOS,Celtics,CLE,Cavliers,,,,,,,,
CLE,Cavliers,DEN,Nuggets,CLE,Cavliers,,,,,,,,
CLE,Cavliers,MIA,Heat,CLE,Cavliers,,,,,,,,
CLE,Cavliers,NYK,Knicks,NYK,Knicks,,,,,,,,
CHO,Hornets,BRK,Nets,CHO,Hornets,,,,,,,,
CHO,Hornets,UTA,Jazz,UTA,Jazz,,,,,,,,
CHO,Hornets,NOP,Pelicans,NOP,Pelicans,,,,,,,,
CHO,Hornets,CHI,Bulls,CHO,Hornets,,,,,,,,
CHO,Hornets,PHO,Suns,CHO,Hornets,,,,,,,,
CHO,Hornets,GSW,Warriors,GSW,Warriors,,,,,,,,
CHO,Hornets,IND,Pacers,IND,Pacers,,,,,,,,
CHO,Hornets,MIL,Bucks,CHO,Hornets,,,,,,,,
CHO,Hornets,POR,Trailblazers,CHO,Hornets,,,,,,,,
CHO,Hornets,HOU,Rockets,HOU,Rockets,,,,,,,,
CHO,Hornets,PHI,76ers,PHI,76ers,,,,,,,,
CHO,Hornets,OKC,Thunder,OKC,Thunder,,,,,,,,
CHO,Hornets,DET,Pistons,CHO,Hornets,,,,,,,,
CHO,Hornets,TOR,Raptors,TOR,Raptors,,,,,,,,
CHO,Hornets,LAL,Lakers,CHO,Hornets,,,,,,,,
CHO,Hornets,WAS,Wizards,CHO,Hornets,,,,,,,,
CHO,Hornets,BOS,Celtics,CHO,Hornets,,,,,,,,
CHO,Hornets,DEN,Nuggets,DEN,Nuggets,,,,,,,,
CHO,Hornets,MIA,Heat,CHO,Hornets,,,,,,,,
CHO,Hornets,NYK,Knicks,NYK,Knicks,,,,,,,,
BRK,Nets,UTA,Jazz,BRK,Nets,,,,,,,,
BRK,Nets,NOP,Pelicans,BRK,Nets,,,,,,,,
BRK,Nets,CHI,Bulls,BRK,Nets,,,,,,,,
BRK,Nets,PHO,Suns,BRK,Nets,,,,,,,,
BRK,Nets,GSW,Warriors,GSW,Warriors,,,,,,,,
BRK,Nets,IND,Pacers,IND,Pacers,,,,,,,,
BRK,Nets,MIL,Bucks,BRK,Nets,,,,,,,,
BRK,Nets,POR,Trailblazers,BRK,Nets,,,,,,,,
BRK,Nets,HOU,Rockets,HOU,Rockets,,,,,,,,
BRK,Nets,PHI,76ers,BRK,Nets,,,,,,,,
BRK,Nets,OKC,Thunder,OKC,Thunder,,,,,,,,
BRK,Nets,DET,Pistons,DET,Pistons,,,,,,,,
BRK,Nets,TOR,Raptors,BRK,Nets,,,,,,,,
BRK,Nets,LAL,Lakers,LAL,Lakers,,,,,,,,
BRK,Nets,WAS,Wizards,BRK,Nets,,,,,,,,
BRK,Nets,BOS,Celtics,BRK,Nets,,,,,,,,
BRK,Nets,DEN,Nuggets,BRK,Nets,,,,,,,,
BRK,Nets,MIA,Heat,MIA,Heat,,,,,,,,
BRK,Nets,NYK,Knicks,BRK,Nets,,,,,,,,
UTA,Jazz,NOP,Pelicans,NOP,Pelicans,,,,,,,,
UTA,Jazz,CHI,Bulls,CHI,Bulls,,,,,,,,
UTA,Jazz,PHO,Suns,PHO,Suns,,,,,,,,
UTA,Jazz,GSW,Warriors,GSW,Warriors,,,,,,,,
UTA,Jazz,IND,Pacers,IND,Pacers,,,,,,,,
UTA,Jazz,MIL,Bucks,UTA,Jazz,,,,,,,,
UTA,Jazz,POR,Trailblazers,UTA,Jazz,,,,,,,,
UTA,Jazz,HOU,Rockets,HOU,Rockets,,,,,,,,
UTA,Jazz,PHI,76ers,PHI,76ers,,,,,,,,
UTA,Jazz,OKC,Thunder,UTA,Jazz,,,,,,,,
UTA,Jazz,DET,Pistons,UTA,Jazz,,,,,,,,
UTA,Jazz,TOR,Raptors,UTA,Jazz,,,,,,,,
UTA,Jazz,LAL,Lakers,UTA,Jazz,,,,,,,,
UTA,Jazz,WAS,Wizards,WAS,Wizards,,,,,,,,
UTA,Jazz,BOS,Celtics,BOS,Celtics,,,,,,,,
UTA,Jazz,DEN,Nuggets,DEN,Nuggets,,,,,,,,
UTA,Jazz,MIA,Heat,MIA,Heat,,,,,,,,
UTA,Jazz,NYK,Knicks,NYK,Knicks,,,,,,,,
NOP,Perlicans,CHI,Bulls,NOP,Perlicans,,,,,,,,
NOP,Perlicans,PHO,Suns,PHO,Suns,,,,,,,,
NOP,Perlicans,GSW,Warriors,NOP,Perlicans,,,,,,,,
NOP,Perlicans,IND,Pacers,NOP,Perlicans,,,,,,,,
NOP,Perlicans,MIL,Bucks,NOP,Perlicans,,,,,,,,
NOP,Perlicans,POR,Trailblazers,NOP,Perlicans,,,,,,,,
NOP,Perlicans,HOU,Rockets,NOP,Perlicans,,,,,,,,
NOP,Perlicans,PHI,76ers,PHI,76ers,,,,,,,,
NOP,Perlicans,OKC,Thunder,NOP,Perlicans,,,,,,,,
NOP,Perlicans,DET,Pistons,DET,Pistons,,,,,,,,
NOP,Perlicans,TOR,Raptors,NOP,Perlicans,,,,,,,,
NOP,Perlicans,LAL,Lakers,LAL,Lakers,,,,,,,,
NOP,Perlicans,WAS,Wizards,WAS,Wizards,,,,,,,,
NOP,Perlicans,BOS,Celtics,BOS,Celtics,,,,,,,,
NOP,Perlicans,DEN,Nuggets,DEN,Nuggets,,,,,,,,
NOP,Perlicans,MIA,Heat,NOP,Perlicans,,,,,,,,
NOP,Perlicans,NYK,Knicks,NYK,Knicks,,,,,,,,
CHI,Bulls,PHO,Suns,PHO,Suns,,,,,,,,
CHI,Bulls,GSW,Warriors,GSW,Warriors,,,,,,,,
CHI,Bulls,IND,Pacers,CHI,Bulls,,,,,,,,
CHI,Bulls,MIL,Bucks,MIL,Bucks,,,,,,,,
CHI,Bulls,POR,Trailblazers,CHI,Bulls,,,,,,,,
CHI,Bulls,HOU,Rockets,CHI,Bulls,,,,,,,,
CHI,Bulls,PHI,76ers,CHI,Bulls,,,,,,,,
CHI,Bulls,OKC,Thunder,CHI,Bulls,,,,,,,,
CHI,Bulls,DET,Pistons,DET,Pistons,,,,,,,,
CHI,Bulls,TOR,Raptors,TOR,Raptors,,,,,,,,
CHI,Bulls,LAL,Lakers,LAL,Lakers,,,,,,,,
CHI,Bulls,WAS,Wizards,WAS,Wizards,,,,,,,,
CHI,Bulls,BOS,Celtics,BOS,Celtics,,,,,,,,
CHI,Bulls,DEN,Nuggets,CHI,Bulls,,,,,,,,
CHI,Bulls,MIA,Heat,CHI,Bulls,,,,,,,,
CHI,Bulls,NYK,Knicks,NYK,Knicks,,,,,,,,
PHO,Suns,GSW,Warriors,PHO,Suns,,,,,,,,
PHO,Suns,IND,Pacers,IND,Pacers,,,,,,,,
PHO,Suns,MIL,Bucks,MIL,Bucks,,,,,,,,
PHO,Suns,POR,Trailblazers,POR,Trailblazers,,,,,,,,
PHO,Suns,HOU,Rockets,HOU,Rockets,,,,,,,,
PHO,Suns,PHI,76ers,PHO,Suns,,,,,,,,
PHO,Suns,OKC,Thunder,OKC,Thunder,,,,,,,,
PHO,Suns,DET,Pistons,DET,Pistons,,,,,,,,
PHO,Suns,TOR,Raptors,TOR,Raptors,,,,,,,,
PHO,Suns,LAL,Lakers,LAL,Lakers,,,,,,,,
PHO,Suns,WAS,Wizards,WAS,Wizards,,,,,,,,
PHO,Suns,BOS,Celtics,PHO,Suns,,,,,,,,
PHO,Suns,DEN,Nuggets,DEN,Nuggets,,,,,,,,
PHO,Suns,MIA,Heat,MIA,Heat,,,,,,,,
PHO,Suns,NYK,Knicks,NYK,Knicks,,,,,,,,
GSW,Warriors,IND,Pacers,GSW,Warriors,,,,,,,,
GSW,Warriors,MIL,Bucks,GSW,Warriors,,,,,,,,
GSW,Warriors,POR,Trailblazers,GSW,Warriors,,,,,,,,
GSW,Warriors,HOU,Rockets,HOU,Rockets,,,,,,,,
GSW,Warriors,PHI,76ers,PHI,76ers,,,,,,,,
GSW,Warriors,OKC,Thunder,OKC,Thunder,,,,,,,,
